Zip,Median,Mean,Pop
61283,47125.068,53991.8082,1640
61285,47601.5116,57258.6868,1631
61301,44803.6402,57337.8647,10588
61310,43405.2439,53874.2287,3970
61312,44576.9854,54440.9226,474
61317,49196,59604,513
61318,57791.5579,62128.0908,700
61320,52431,75828,710
61322,41615,49022,1647
61325,59514.6584,73173.9208,1073
61326,49662.4458,58185.5594,2452
61330,48519.667,58802.4199,1483
61334,51010.9408,58872.7136,741
61335,69196,73928,532
61336,64319.81,71104.2912,628
61341,54915.7527,63348.1673,8234
61342,51566.2969,66745.3387,9216
61345,42584.78,58221.7724,846
61348,52252.4914,55362.365,4696
61349,49534.7949,59184.8879,977
61350,49710.8096,61910.5647,24246
61353,57756,61848,1333
61354,49434.9591,62701.6616,10870
61356,45089.0004,56026.7716,11281
61360,56934.6344,65974.0309,3393
61361,43873.8939,58307.6402,1409
61362,46734.4817,56809.1632,5911
61364,45203.2007,53295.9176,20133
61367,52787.988,58949.454,864
61368,53459.539,59508.7424,1489
61370,53020.288,62533.344,1460
61373,59943.3296,71731.106,2031
61378,57833.7518,62460.4536,512
61379,52560.9384,59073.9932,1359
61421,45203.3959,55276.5041,1392
61537,40515.205,51946.8212,2974
61560,69009.8483,73757.0446,754
62203,32824.8764,40202.9819,8209
62301,39584.5965,53502.0686,33758
63301,55137.9136,63681.5353,48514
