"","date","incident_num","incident_type","city","state","zip","county","destroyed","major","minor","affected","injured","hospitalized","deceased","adults","children","families","assistance","verified","dispatched","responders_id","on_scene","departed"
"88",2014-01-19,140623,"Fire","Chicago","IL",60625,"Cook",0,0,0,0,0,0,0,0,0,0,NA,2014-01-19 06:26:00,NA,2014-01-19 06:50:00,2014-01-19 07:55:00,2014-01-19 08:35:00
"89",2014-01-19,140627,"Fire","Dolton","IL",60419,"Cook",0,1,0,0,0,0,0,2,0,0,385,2014-01-20 05:46:00,2014-01-20 06:35:00,2014-01-20 06:52:00,2014-01-20 07:55:00,2014-01-20 09:00:00
"90",2014-01-20,140629,"Fire","Hammond","IN",46320,"Lake",0,0,1,0,0,0,0,2,3,1,135,2014-01-20 19:26:00,NA,2014-01-20 20:30:00,2014-01-20 22:45:00,2014-01-21 00:00:00
"91",2014-01-20,140630,"Fire","Chicago","IL",60643,"Cook",0,1,0,1,0,0,0,2,1,1,405,2014-01-21 01:36:00,2014-01-21 01:38:00,2014-01-21 01:54:00,2014-01-21 03:22:00,2014-01-21 04:03:00
"92",2014-01-20,140631,"Fire","Lake Station","IN",46405,"Lake",1,1,1,1,0,0,0,2,0,1,817,2014-01-21 01:45:00,2014-01-21 01:57:00,2014-01-21 02:19:00,2014-01-21 04:02:00,2014-01-21 05:46:00
"93",2014-01-20,140632,"Fire","Harvey","IL",60426,"Cook",0,1,0,0,0,0,0,2,0,0,655,2014-01-21 02:07:00,2014-01-21 08:05:00,2014-01-21 08:19:00,2014-01-21 09:45:00,2014-01-21 10:30:00
"94",2014-01-21,140634,"Fire","Chicago","IL",60636,"Cook",0,0,0,0,0,0,0,0,0,0,NA,2014-01-21 06:24:00,2014-01-21 06:25:00,2014-01-21 06:42:00,2014-01-21 07:45:00,2014-01-21 07:55:00
"95",2014-01-21,140635,"Fire","Chicago","IL",60636,"Cook",0,0,0,0,0,0,0,0,0,0,NA,2014-01-21 09:09:00,2014-01-21 09:10:00,2014-01-21 09:28:00,2014-01-21 11:10:00,2014-01-21 12:15:00
"96",2014-01-21,140636,"Fire","Kankakee","IL",60901,"Kankakee",0,1,0,1,0,0,0,2,1,1,295,2014-01-21 17:33:00,NA,2014-01-21 17:52:00,2014-01-21 19:22:00,2014-01-21 20:32:00
"97",2014-01-21,140637,"Fire","Chicago","IL",60621,"Cook",0,1,1,0,0,0,0,3,0,2,785,2014-01-21 21:51:00,2014-01-21 22:05:00,2014-01-21 22:45:00,2014-01-22 00:06:00,2014-01-22 01:20:00
